slug,page_type,title,h1,url,internal_link_count,external_link_count,image_count,script_count,iframe_count,form_count
2016.html,year-archive,2016 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2016.html,171,4,1,9,0,1
2017.html,year-archive,2017 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2017.html,171,4,1,9,0,1
2018.html,year-archive,2018 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2018.html,171,5,1,8,0,1
2019.html,year-archive,2019 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2019.html,171,0,1,9,0,1
20191.html,general,2019 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20191.html,171,4,1,9,0,1
2020.html,year-archive,2020 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2020.html,171,2,1,9,0,1
2020s.html,general,2020s - Fremont Sailing Club,,https://www.fremontsailingclub.org/2020s.html,171,0,1,9,0,1
2021-07.html,monthly-post,2021-07 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2021-07.html,171,1,3,10,0,1
2021-08.html,monthly-post,2021-08 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2021-08.html,171,0,3,10,0,1
2021-12.html,monthly-post,2021-12 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2021-12.html,171,0,3,9,0,1
2021.html,year-archive,2021 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2021.html,171,3,1,9,0,1
20211.html,general,2021 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20211.html,171,0,1,8,0,1
20212.html,general,2021 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20212.html,171,0,1,9,0,1
2022-01.html,monthly-post,2022-01 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2022-01.html,171,0,4,9,0,1
2022-03.html,monthly-post,2022-03 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2022-03.html,172,0,3,10,0,1
2022-09-26.html,dated-post,2022-09-26 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2022-09-26.html,171,0,5,9,0,1
2022.html,year-archive,2022 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2022.html,171,0,1,8,0,1
20221.html,general,2022 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20221.html,171,0,1,9,0,1
2023-04.html,monthly-post,2023-04 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2023-04.html,171,0,3,9,0,1
2023-09-17.html,dated-post,2023-09-17 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2023-09-17.html,171,0,2,10,0,1
2023-10-15.html,dated-post,2023-10-15 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2023-10-15.html,172,1,3,10,0,1
2023-calendar-562573-358418.html,calendar,2023 FSC Calendar - Fremont Sailing Club,,https://www.fremontsailingclub.org/2023-calendar-562573-358418.html,172,1,3,9,0,1
2023-calendar-562573.html,calendar,2023 FSC Calendar - Fremont Sailing Club,,https://www.fremontsailingclub.org/2023-calendar-562573.html,171,0,3,9,0,1
2023.html,year-archive,2023 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2023.html,171,0,1,9,0,1
20231.html,general,2023 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20231.html,171,0,1,8,0,1
20232.html,general,2023 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20232.html,171,0,1,8,0,1
2024-01-01.html,dated-post,2024-01-01 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-01-01.html,171,0,2,10,0,1
2024-01-18.html,dated-post,2024-01-18 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-01-18.html,175,0,6,9,0,1
2024-02-05.html,dated-post,2024-02-05 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-02-05.html,173,0,4,9,0,1
2024-02-10.html,dated-post,2024-02-10 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-02-10.html,174,0,5,9,0,1
2024-02-28.html,dated-post,2024-02-28 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-02-28.html,171,0,3,9,0,1
2024-02-29.html,dated-post,2024-02-29 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-02-29.html,171,1,3,10,0,1
2024-03-19.html,dated-post,2024-03-19 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-03-19.html,171,1,2,9,0,1
2024-03-29.html,dated-post,2024-03-29 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-03-29.html,171,0,2,9,0,1
2024-04-01.html,dated-post,2024-04-01 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-04-01.html,171,0,2,9,0,1
2024-04-09.html,dated-post,2024-04-09 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-04-09.html,171,0,3,9,0,1
2024-photo-gallery.html,gallery,Spring 789 Gallery - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024-photo-gallery.html,176,0,6,9,0,1
2024.html,year-archive,2024 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2024.html,171,0,1,9,0,1
20241.html,general,2024 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20241.html,171,1,1,9,0,1
2025-02-23.html,dated-post,2025-02-23 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-02-23.html,171,0,1,10,0,1
2025-04-28.html,dated-post,2025-04-28 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-04-28.html,171,0,1,9,0,1
2025-05-05.html,dated-post,2025-05-05 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-05-05.html,171,0,1,9,0,1
2025-05-19.html,dated-post,2025-05-19 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-05-19.html,171,1,1,10,0,1
2025-06-10.html,dated-post,2025-06-10 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-06-10.html,171,1,1,9,0,1
2025-06-23.html,dated-post,2025-06-23 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-06-23.html,171,2,1,9,0,1
2025-07-08.html,dated-post,2025-07-08 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-07-08.html,171,1,1,9,0,1
2025-07-20.html,dated-post,2025-07-20 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-07-20.html,171,0,1,9,0,1
2025-08-03.html,dated-post,2025-08-03 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-08-03.html,171,0,1,9,0,1
2025-08-24.html,dated-post,2025-08-24 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-08-24.html,171,0,1,10,0,1
2025-09-07.html,dated-post,2025-09-07 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-09-07.html,171,0,2,9,0,1
2025-10-06.html,dated-post,2025-10-06 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-10-06.html,171,0,1,10,0,1
2025-11-19.html,dated-post,2025-11-19 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025-11-19.html,171,0,1,11,0,1
2025.html,year-archive,2025 - Fremont Sailing Club,,https://www.fremontsailingclub.org/2025.html,171,0,1,8,0,1
20251.html,general,2025 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20251.html,171,0,1,8,0,1
20252.html,general,2025 - Fremont Sailing Club,,https://www.fremontsailingclub.org/20252.html,171,0,1,9,0,1
